YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2023-01,WEEKENDS/HOLIDAY,19,TRAIN,PW6,325,561
2023-01,WEEKDAY,19,TRAIN,PW6,498,1490
2023-01,WEEKENDS/HOLIDAY,8,TRAIN,NE10,3888,3381
2023-01,WEEKDAY,8,TRAIN,NE10,17838,18972
2023-01,WEEKENDS/HOLIDAY,21,TRAIN,CG1/DT35,5719,963
2023-01,WEEKDAY,21,TRAIN,CG1/DT35,9195,1052
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,NS21/DT11,21311,21018
2023-01,WEEKDAY,13,TRAIN,NS21/DT11,29274,34024
2023-01,WEEKDAY,17,TRAIN,TE12,5487,1030
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,TE12,1095,675
2023-01,WEEKDAY,7,TRAIN,CC23,2510,21022
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,CC23,708,2153
2023-01,WEEKDAY,16,TRAIN,SW1,2796,1621
2023-01,WEEKENDS/HOLIDAY,16,TRAIN,SW1,953,730
2023-01,WEEKDAY,20,TRAIN,NE15,4628,17916
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,NE15,2816,8328
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,EW29,4309,3263
2023-01,WEEKDAY,13,TRAIN,EW29,5465,3901
2023-01,WEEKDAY,13,TRAIN,EW30,858,478
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,EW30,835,358
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,EW32,1822,3376
2023-01,WEEKDAY,7,TRAIN,EW32,2783,17606
2023-01,WEEKDAY,7,TRAIN,NE14,51344,26827
2023-01,WEEKENDS/HOLIDAY,7,TRAIN,NE14,7691,3522
2023-01,WEEKENDS/HOLIDAY,13,TRAIN,SE3,1437,1103
2023-01,WEEKDAY,13,TRAIN,SE3,2970,2529
2023-01,WEEKENDS/HOLIDAY,20,TRAIN,EW30,701,1067
2023-01,WEEKDAY,20,TRAIN,EW30,3757,815
2023-01,WEEKENDS/HOLIDAY,12,TRAIN,NS17/CC15,17967,15152
2023-01,WEEKDAY,12,TRAIN,NS17/CC15,28212,25973
2023-01,WEEKENDS/HOLIDAY,15,TRAIN,EW26,10953,10218
2023-01,WEEKDAY,15,TRAIN,EW26,16216,16443
2023-01,WEEKENDS/HOLIDAY,17,TRAIN,TE13,935,783
2023-01,WEEKDAY,17,TRAIN,TE13,2736,1320
